order_id,exchange,timestamp,security_code,price,side,changereason,orderstatus,quantity,leavesquantity,ordertype,exchangeordertype,national_bid,national_offer,bid,offer,participantid,preferenceonly,midtick,singlefillminimumquantity,minimumquantity,sequence,crossingkey,totalmatchedquantity,shortsellquantity,triggercondition,timevaliditydecoded,row_num,timevalidity,date
7904005920869838028,2,1725448942686460875,85603,143000,2,30,1,150,150,1,2048,139000,141000,139000,141000,54,0,2,0,0,104975,0,0,0,0,Days,998,1366,2024-09-04
7904005920870598359,2,1725448942749499522,85603,145750,2,30,1,44,44,1,2048,139000,141000,139000,141000,54,0,2,0,0,106123,0,0,0,0,Current Max,1020,1536,2024-09-04
7904005920870611155,2,1725448942750177683,85603,141290,2,30,1,200,200,1,2048,139000,141000,139000,141000,54,0,2,0,0,106143,0,0,0,0,Current Max,1022,1536,2024-09-04
7904005920871068675,2,1725448942782924526,85603,145000,2,30,1,50,50,1,2048,139000,141000,139000,141000,54,0,2,0,0,106731,0,0,0,0,Current Max,1038,1536,2024-09-04
7904005920871099640,2,1725448942785179413,85603,147000,2,30,1,17,17,1,2048,139000,141000,139000,141000,54,0,2,0,0,106759,0,0,0,0,Current Max,1040,1536,2024-09-04
7904005920872186648,2,1725448942863468369,85603,144000,2,30,1,248,248,1,2048,139000,141000,139000,141000,54,0,2,0,0,108499,0,0,0,0,Current Max,1084,1536,2024-09-04
7904005920872525865,2,1725448942887446774,85603,159290,2,30,1,15,15,1,2048,139000,141000,139000,141000,54,0,2,0,0,109195,0,0,0,0,Current Max,1100,1536,2024-09-04
7904398171642652935,2,1725448942906412013,85603,144500,2,30,1,20,20,1,2048,139000,141000,139000,141000,54,0,2,0,0,109547,0,0,0,0,Current Max,1110,1536,2024-09-04
7904398171642652953,2,1725448942906756039,85603,145000,2,30,1,600,600,1,2048,139000,141000,139000,141000,54,0,2,0,0,109563,0,0,0,0,Current Max,1112,1536,2024-09-04
7904398171642652960,2,1725448942906945645,85603,141980,2,30,1,200,200,1,2048,139000,141000,139000,141000,54,0,2,0,0,109575,0,0,0,0,Current Max,1114,1536,2024-09-04
