orderid,orderbookid,qty_filled,order_quantity,fill_ratio,fill_rate_pct,num_fills,avg_fill_size,fill_status,vwap,arrival_midpoint,arrival_bid,arrival_offer,arrival_spread,arrival_spread_bps,limit_price,price_improvement,price_improvement_bps,exec_cost_arrival_bps,exec_cost_vw_bps,effective_spread_pct,slippage_bps,implementation_shortfall_bps,total_execution_value,order_timestamp,first_fill_time,last_fill_time,time_to_first_fill_sec,execution_duration_sec,total_duration_sec,avg_time_between_fills,vw_exec_time_sec,first_fill_midpoint,last_fill_midpoint,market_drift_bps,avg_execution_spread_bps,spread_volatility_bps,price_volatility_bps,date,orderbookid_partition,ticker
7904793995829097283,85603,2.0,3.0,0.6666666666666666,66.66666666666666,1.0,2.0,Partially Filled,141090.0,141035.0,141020.0,141050.0,30.0,2.1271315630871768,141090.0,0.0,0.0,-3.8997411989931576,-1.7722326587034347,366.66666666666663,-3.8997411989931576,3.8997411989931576,282180.0,1725495245905628521,1725495235506260679,1725495235506260679,0.0,0.0,0.0,0.0,0.0,141065.0,141065.0,0.0,3.5444653174068694,0.0,0.0,2024-09-05,85603,cba
7904793995829116959,85603,30.0,34.0,0.8823529411764706,88.23529411764706,2.0,15.0,Partially Filled,141080.0,141080.0,141060.0,141100.0,40.0,2.835270768358378,141080.0,0.0,0.0,0.0,-0.70876745339854,0.0,0.0,0.0,4232400.0,1725495328155974030,1725495327301554849,1725495327665796052,0.0,0.364241203,0.0,0.364241203,0.0,141090.0,141090.0,0.0,1.41753490679708,0.0,0.0,2024-09-05,85603,cba
7904793995829117428,85603,10.0,25.0,0.4,40.0,1.0,10.0,Partially Filled,141060.0,141070.0,141060.0,141080.0,20.0,1.4177358758063374,141060.0,0.0,0.0,-0.7088679379031687,-0.7088679379031687,100.0,-0.7088679379031687,-0.7088679379031687,1410600.0,1725495335198694131,1725495329307040499,1725495329307040499,0.0,0.0,0.0,0.0,0.0,141070.0,141070.0,0.0,1.4177358758063374,0.0,0.0,2024-09-05,85603,cba
7904793995829125247,85603,1.0,25.0,0.04,4.0,1.0,1.0,Partially Filled,141130.0,141125.0,141120.0,141130.0,10.0,0.70859167404783,141130.0,0.0,0.0,-0.354295837023915,-0.354295837023915,100.0,-0.354295837023915,0.354295837023915,141130.0,1725495360447214386,1725495359969676722,1725495359969676722,0.0,0.0,0.0,0.0,0.0,141125.0,141125.0,0.0,0.70859167404783,0.0,0.0,2024-09-05,85603,cba
7904793995829140435,85603,19.0,25.0,0.76,76.0,2.0,9.5,Partially Filled,141180.0,141190.0,141180.0,141200.0,20.0,1.416530915787237,141180.0,0.0,0.0,-0.7082654578936185,-0.7082654578936185,100.0,-0.7082654578936185,-0.7082654578936185,2682420.0,1725495440755627423,1725495440754908197,1725495440755504040,0.0,0.000595843,0.0,0.000595843,0.0,141190.0,141190.0,0.0,1.416530915787237,0.0,0.0,2024-09-05,85603,cba
7904793995829142735,85603,10.0,25.0,0.4,40.0,1.0,10.0,Partially Filled,141170.0,141185.0,141170.0,141200.0,30.0,2.1248716223394837,141170.0,0.0,0.0,-1.0624358111697418,-1.0624358111697418,100.0,-1.0624358111697418,-1.0624358111697418,1411700.0,1725495458651312767,1725495458084925782,1725495458084925782,0.0,0.0,0.0,0.0,0.0,141185.0,141185.0,0.0,2.1248716223394837,0.0,0.0,2024-09-05,85603,cba
7904793995829144472,85603,22.0,33.0,0.6666666666666666,66.66666666666666,1.0,22.0,Partially Filled,141230.0,141205.0,141190.0,141220.0,30.0,2.12457065967919,141230.0,0.0,0.0,-1.7704755497326583,-1.4163302882232138,166.66666666666669,-1.7704755497326583,1.7704755497326583,3107060.0,1725495470285408997,1725495466199871711,1725495466199871711,0.0,0.0,0.0,0.0,0.0,141210.0,141210.0,0.0,2.8326605764464277,0.0,0.0,2024-09-05,85603,cba
7904793995829149500,85603,2.0,31.0,0.06451612903225806,6.451612903225806,2.0,1.0,Partially Filled,141290.0,141275.0,141260.0,141290.0,30.0,2.123517961422757,141290.0,0.0,0.0,-1.0617589807113785,-1.0617589807113785,100.0,-1.0617589807113785,1.0617589807113785,282580.0,1725495709264953966,1725495709264798161,1725495709264913682,0.0,0.000115521,0.0,0.000115521,0.0,141275.0,141275.0,0.0,2.123517961422757,0.0,0.0,2024-09-05,85603,cba
7904793995829184435,85603,19.0,25.0,0.76,76.0,1.0,19.0,Partially Filled,141240.0,141250.0,141240.0,141260.0,20.0,1.415929203539823,141240.0,0.0,0.0,-0.7079646017699115,-0.7079646017699115,100.0,-0.7079646017699115,-0.7079646017699115,2683560.0,1725495699489050743,1725495696183118352,1725495696183118352,0.0,0.0,0.0,0.0,0.0,141250.0,141250.0,0.0,1.415929203539823,0.0,0.0,2024-09-05,85603,cba
7904793995829185106,85603,1.0,9.0,0.1111111111111111,11.11111111111111,1.0,1.0,Partially Filled,141290.0,141245.0,141230.0,141260.0,30.0,2.123968990052745,141290.0,0.0,0.0,-3.185953485079118,-0.7078142695356738,300.0,-3.185953485079118,3.185953485079118,141290.0,1725495714324567000,1725495710778553805,1725495710778553805,0.0,0.0,0.0,0.0,0.0,141280.0,141280.0,0.0,1.4156285390713477,0.0,0.0,2024-09-05,85603,cba
7904793995829187975,85603,23.0,43.0,0.5348837209302325,53.48837209302325,1.0,23.0,Partially Filled,141270.0,141275.0,141270.0,141280.0,10.0,0.7078393204742524,141270.0,0.0,0.0,-0.3539196602371262,-0.7078142695356738,100.0,-0.3539196602371262,-0.3539196602371262,3249210.0,1725495712630758338,1725495710864025299,1725495710864025299,0.0,0.0,0.0,0.0,0.0,141280.0,141280.0,0.0,1.4156285390713477,0.0,0.0,2024-09-05,85603,cba
7904793995829189191,85603,10.0,28.0,0.35714285714285715,35.714285714285715,1.0,10.0,Partially Filled,141260.0,141190.0,141170.0,141210.0,40.0,2.833061831574474,141260.0,0.0,0.0,-4.957858205255329,-0.35396977098155813,350.0,-4.957858205255329,4.957858205255329,1412600.0,1725495732417256455,1725495721816001026,1725495721816001026,0.0,0.0,0.0,0.0,0.0,141255.0,141255.0,0.0,0.7079395419631163,0.0,0.0,2024-09-05,85603,cba
7904793995829216568,85603,11.0,25.0,0.44,44.0,2.0,5.5,Partially Filled,141150.0,141115.0,141080.0,141150.0,70.0,4.9604932147539245,141150.0,0.0,0.0,-2.4802466073769622,-2.8024478638631134,100.0,-2.4802466073769622,2.4802466073769622,1552650.0,1725495946387375457,1725495946383225727,1725495946384809642,0.0,0.001583915,0.0,0.001583915,0.0,141110.0,141115.0,0.3543334986889661,5.314914596888691,0.35442138213476637,0.0,2024-09-05,85603,cba
7904793995829216807,85603,1.0,6.0,0.16666666666666666,16.666666666666664,1.0,1.0,Partially Filled,141130.0,141080.0,141070.0,141090.0,20.0,1.417635384179189,141130.0,0.0,0.0,-3.5440884604479725,-2.4805981785321944,500.0,-3.5440884604479725,3.5440884604479725,141130.0,1725495904857128692,1725495866927724411,1725495866927724411,0.0,0.0,0.0,0.0,0.0,141095.0,141095.0,0.0,4.961196357064389,0.0,0.0,2024-09-05,85603,cba
7904793995829217512,85603,5.0,4.0,1.25,125.0,1.0,5.0,Fully Filled,141110.0,141040.0,141020.0,141060.0,40.0,2.836074872376631,141110.0,0.0,0.0,-4.963131026659103,-0.7087172218284904,350.0,-4.963131026659103,4.963131026659103,705550.0,1725495915864730127,1725495892463070126,1725495892463070126,0.0,0.0,0.0,0.0,0.0,141100.0,141100.0,0.0,1.4174344436569808,0.0,0.0,2024-09-05,85603,cba
